lat,lng,HAZ_CLASS
-513119.1146,259302.207,1
-512773.9922,141500.5382,1
-512174.3618,272596.3771,1
-512119.9487,272386.4845,1
-512636.9533,327117.0611,1
-512056.7504,272468.5777,1
-510260.4393,258090.392,1
-511258.047,329686.9485,1
-509759.7056,257576.4123,1
-527692.1745,335144.0578,1
-503461.005,270625.0728,1
-503000.3883,258423.4951,1
-502464.3519,257239.7685,1
-500985.2821,346997.9559,1
-500182.8001,346962.0304,1
-500058.9635,256987.5109,1
-498227.9362,282204.0638,1
-497923.3674,347047.5633,1
-497826.287,273096.0402,1
-498017.9147,274450.4339,1
-496980.0606,220260.0684,1
-496931.1245,220302.9637,1
-496894.0959,220354.8443,1
-496865.6407,220386.6713,1
-496270.5875,348487.9668,1
-496290.4688,224756.0625,1
-496124.703,314102.8218,1
-496290.2846,220634.767,1
-496162.7816,272145.4096,1
-495388.6791,218824.9948,1
-494919.3987,274066.8038,1
-494603.1587,270557.8078,1
-494815.2007,210534.0958,1
-493668.6923,250046.6923,1
-493074.1607,348450.1738,1
-493371.6258,278068.3436,1
-493135.8183,297673.5021,1
-492699.2897,348237.0933,1
-493521.5965,274957.0098,1
-492205.9869,347265.7118,1
-492154.217,201971.655,1
-492001.7844,348339.5593,1
-491846.4259,346603.324,1
-492670.1366,351326.599,1
-507167.8959,350192.1323,1
-491779.5405,346098.5889,1
-491622.411,352825.2194,1
-491551.9911,346484.1576,1
-491384.8919,346396.0434,1
-491392.7215,346654.4229,1
-491351.1515,348798.6667,1
-491231.8776,345968.3796,1
-491298.3708,250205.7303,1
-491061.4076,349302.4218,1
-490908.7133,348779.8113,1
-491007.7811,278579.5562,1
-490674.5197,349564.3439,1
-490649.798,348702.7474,1
-490509.5403,345610.6987,1
-490595.575,345805.3805,1
-490508.2444,351975.0595,1
-490571.5498,346398.875,1
-490562.9734,346646.4679,1
-490379.4256,349553.8851,1
-490160.8051,351960.709,1
-490962.7251,352522.3308,1
-490145.697,344171.7985,1
-490628.848,271382.4789,1
-490133.2954,347023.3696,1
-490112.9304,347631.5624,1
-490089.204,348134.9949,1
-489967.7202,350748.2909,1
-490646.0163,224120.6376,1
-489564.2725,343782.1472,1
-489535.6211,344490.7681,1
-489201.4251,341326.8067,1
-489058.0045,344064.1894,1
-488786.1189,350148.3277,1
-488765.889,350594.3402,1
-488752.416,350891.3664,1
-488734.2695,351289.685,1
-488292.967,346468.576,1
-488392.9764,270533.0626,1
-490295.2834,309170.2926,1
-488242.9384,345265.1702,1
-488170.321,345770.2597,1
-488041.1425,346455.6223,1
-487896.3238,349648.4875,1
-488100.7208,342605.4083,1
-487595.2569,273008.367,1
-487652.9459,348693.1547,1
-487800.5357,224298.75,1
-487198.2072,349621.1686,1
-486893.6374,344790.3246,1
-486357.3501,270748.074,1
-486582.4958,343824.1217,1
-486535.7255,340953.0035,1
-487778.4969,352050.7369,1
-486294.3624,346971.9556,1
-485681.4195,224327.9837,1
-485026.6507,348591.0668,1
-484191.9896,266507.5707,1
-484047.4308,267738.3717,1
-483701.2374,269657.7224,1
-483698.6701,337453.7438,1
-484159.9295,339969.8222,1
-483995.596,343244.1675,1
-482302.3701,245667.9424,1
-482216.3849,245615.135,1
-482189.3448,245580.9307,1
-482033.0229,245349.9103,1
-482140.2859,331958.0323,1
-481223.4332,225564.6741,1
-481790.5442,338975.0788,1
-480231.4614,242514.0683,1
-480162.3194,333745.6829,1
-480180.0969,242650.2683,1
-479807.9977,334013.078,1
-478971.7393,333787.0247,1
-478433.678,267899.8404,1
-479788.6408,332227.5585,1
-477944.6997,334259.0539,1
-478687.3024,339255.3967,1
-479640.0418,270037.9426,1
-477063.7198,280988.2251,1
-477274.9294,330761.2677,1
-477616.4805,336327.0366,1
-476159.4935,269082.8307,1
-476216.1896,336125.8775,1
-475964.2798,336052.6401,1
-476697.4362,277594.598,1
-475303.5468,273775.9723,1
-475586.6431,271242.0142,1
-475740.2665,247002.9524,1
-475720.587,329107.312,1
-476422.6137,334478.1484,1
-474381.1796,275467.0618,1
-473582.2944,237838.7276,1
-474073.9425,330638.5488,1
-473111.3312,238709.2103,1
-473221.6828,250522.0378,1
-472461.2481,285031.1039,1
-472244.2596,318470.1733,1
-472265.622,319251.5231,1
-472266.807,238623.0683,1
-472094.6242,282995.7024,1
-472523.5922,328964.4996,1
-472214.7682,271028.472,1
-470541.5096,291554.1868,1
-470485.1969,291412.195,1
-470429.9087,290759.8786,1
-470504.5515,320757.0468,1
-470397.2782,291769.111,1
-470509.555,273858.5284,1
-470355.9923,291026.3424,1
-471644.0517,288534.8216,1
-468822.7051,289088.7244,1
-468789.5042,289039.7278,1
-468944.6948,264258.7362,1
-468849.7028,315585.7007,1
-468935.0658,232430.1673,1
-468275.0488,231626.5344,1
-468815.1314,273970.8053,1
-466929.8039,274741.3381,1
-466955.2711,244290.9854,1
-466018.4196,263436.3001,1
-467890.9774,252808.5977,1
-465730.7164,231653.9202,1
-465172.5249,263419.8275,1
-465467.6377,242734.027,1
-464540.5529,230733.7359,1
-464853.8618,231043.6674,1
-464400.4354,264355.7073,1
-467909.7633,317774.5842,1
-463772.7355,316360.9682,1
-463412.877,267285.516,1
-462896.0967,255190.9587,1
-463269.045,235404.5117,1
-462812.5449,316664.7856,1
-462076.3382,250619.0287,1
-461403.8875,254135.6397,1
-461123.4943,317074.5283,1
-461055.1844,316987.6704,1
-460936.2508,316691.4522,1
-461689.9927,317504.7493,1
-461093.9895,245198.3101,1
-461066.3509,248366.5214,1
-460715.0111,316536.0048,1
-460867.7989,268891.0971,1
-460382.9982,228525.3483,1
-460119.2623,266167.3183,1
-460226.3858,316526.3146,1
-459953.9261,272233.3799,1
-459927.342,272194.7213,1
-459883.6775,270104.9968,1
-459349.3696,315030.638,1
-459407.3713,312606.0659,1
-459768.8267,315824.2256,1
-458885.0553,232315.9118,1
-460307.2566,237045.3543,1
-458627.3488,240913.5053,1
-458348.7092,235917.8788,1
-458565.3834,232817.8117,1
-457928.0235,267571.6816,1
-457755.6178,267553.6728,1
-458155.5647,238477.7346,1
-456682.5742,244890.1958,1
-457824.6527,265728.5853,1
-456508.1098,243920.9031,1
-456551.2016,244713.1658,1
-458112.8597,261300.0078,1
-456338.063,292904.0535,1
-456326.8353,293143.0865,1
-456371.6457,296323.2594,1
-458376.4786,244435.4686,1
-456170.9876,235453.0285,1
-456148.9814,235424.731,1
-456140.0969,235212.0389,1
-456211.0545,292323.5371,1
-456114.4619,234529.5042,1
-456247.4268,239608.3638,1
-456587.47,293977.9465,1
-455789.5113,297626.9899,1
-453007.6968,306720.5726,1
-452875.4161,305865.0035,1
-452342.5104,268977.6259,1
-452292.3735,268939.9051,1
-452943.5293,304550.1856,1
-452125.7799,268852.8893,1
-452050.1491,307119.1896,1
-450789.1666,279309.9685,1
-448476.1756,298890.4979,1
-447424.5167,302306.8021,1
-447337.2398,308871.1112,1
-447570.3693,311679.3085,1
-446589.485,303645.5727,1
-445710.5967,309127.7718,1
-449040.0619,306190.3904,1
-445709.8319,282577.1559,1
-445443.6402,282355.9232,1
-445414.7112,282324.7236,1
-445308.7116,191882.8163,1
-445575.4266,302738.3189,1
-445272.7341,282206.2312,1
-445125.0232,282168.1829,1
-445065.0277,282169.1535,1
-446058.164,310226.9772,1
-446124.2097,314464.426,1
-443622.9934,186292.3291,1
-443176.9505,185379.2996,1
-443674.424,327910.1653,1
-441221.2477,182256.0485,1
-441170.7846,182087.5033,1
-441336.9099,183455.8191,1
-441184.2693,320860.5752,1
-442736.5392,309065.6019,1
-440928.9484,320728.8919,1
-441788.7632,323149.3433,1
-440947.8146,314508.7714,1
-440951.0734,313650.8313,1
-440462.8589,319799.1785,1
-439628.1794,6853.2164,1
-438939.4519,200402.7185,1
-439885.928,315178.9129,1
-437497.5665,315140.3286,1
-436818.3007,313814.2928,1
-436363.8744,197618.2297,1
-436791.9375,196880.1721,1
-436164.2502,199861.5821,1
-436581.2741,314298.6173,1
-436113.478,199755.074,1
-435797.959,197791.1774,1
-436386.0957,306713.2184,1
-436169.4266,310028.5986,1
-435605.3171,266004.6337,1
-434777.0322,266895.5134,1
-434615.9789,308377.9103,1
-432826.766,307500.489,1
-433372.7133,307157.596,1
-432459.3788,307315.4239,1
-432206.5617,314346.9335,1
-431571.5965,85286.04,1
-431316.0529,85453.708,1
-430735.3478,339168.0378,1
-430681.2791,87151.3274,1
-430226.3497,319671.9853,1
-430042.7494,323385.8973,1
-430396.3166,343093.9728,1
-429793.4363,342254.4775,1
-430057.5237,324137.7135,1
-429789.1189,309858.3283,1
-429217.4702,343915.3242,1
-428812.5999,88452.5229,1
-428784.1604,88516.1195,1
-428759.978,88559.9474,1
-428696.1579,88677.4679,1
-432783.9784,316992.9566,1
-428027.7152,88009.6234,1
-427716.4478,319379.1348,1
-427526.1823,207014.9504,1
-427484.8948,310546.601,1
-427434.9358,86604.8229,1
-427345.6441,86665.9691,1
-428372.9831,311639.7825,1
-427314.8381,86695.2231,1
-427284.032,86724.4772,1
-427253.226,86753.7313,1
-427222.4199,86782.9853,1
-427191.6138,86812.2394,1
-427160.8078,86841.4935,1
-426721.4021,309149.9576,1
-427042.4299,310195.8658,1
-426655.9272,317049.1866,1
-428568.8613,338016.4725,1
-425981.5513,320972.1168,1
-426889.2475,307421.2153,1
-425845.2154,88524.0955,1
-426554.161,309449.1611,1
-425753.0053,243887.8249,1
-425719.26,321786.7808,1
-425388.426,243587.1453,1
-425010.9799,243152.9258,1
-424900.1657,239789.673,1
-424732.7566,91738.8868,1
-424368.0305,324536.112,1
-422824.1351,322882.2973,1
-423121.2687,239171.8572,1
-421874.8495,242934.5332,1
-421670.4516,242854.6719,1
-421630.0135,242829.779,1
-424078.3843,318888.0024,1
-421112.9318,242301.1665,1
-420956.8317,321746.9492,1
-419469.516,324239.5787,1
-419463.3896,324008.8466,1
-419450.7745,324556.8793,1
-419833.5665,325059.7338,1
-418968.6986,108139.7945,1
-418422.427,93314.7689,1
-418730.4286,238993.5714,1
-419505.2092,319523.4243,1
-417337.8174,324094.2229,1
-416519.624,87199.7754,1
-416485.0874,87540.3631,1
-416506.7597,90562.9141,1
-416427.4664,93230.87,1
-416401.3451,93454.1423,1
-416863.9093,105655.7698,1
-415857.5685,316395.6867,1
-415854.9217,316515.3272,1
-416246.0306,98538.7038,1
-415565.4748,315663.5688,1
